type,act,prompt,summary
Entertainment,Movie Recommender,"Suggest a movie.","A. Vague request for a movie suggestion, lacking genre, era, or preference details."
Entertainment,Movie Recommender,"I'm in the mood for a comedy movie from the last decade that's suitable for a family movie night. Any suggestions?","A. Request for a family-friendly comedy movie from the last decade, ideal for a movie night."
Entertainment,Storyteller,"Tell a story.","B. Broad request for a story without any theme, length, or style specifications."
Entertainment,Storyteller,"Create a fantasy story about a young mage on a quest to find a legendary artifact in an ancient forest, including elements of adventure and mystery.","B. Request for a detailed fantasy story about a young mage's quest, incorporating adventure and mystery."
Health,Exercise Guide,"Suggest an exercise.","A. Non-specific request for an exercise without considering the individual's fitness level, goals, or available equipment."
Health,Exercise Guide,"I'm a beginner at fitness looking for a 20-minute home workout routine that focuses on strength building without any equipment.","A. Request for a beginner-level, 20-minute home workout focusing on strength building, not requiring equipment."
Health,Nutrition Advisor,"Need a diet plan.","B. General request for a diet plan without specifying dietary preferences, goals, or restrictions."
Health,Nutrition Advisor,"I'm a vegetarian looking to lose weight while ensuring I get enough protein. Can you create a week-long meal plan for me?","B. Request for a week-long vegetarian meal plan focused on weight loss and high protein intake."
Health,Dietitian,"Need a low carb diet plan.","C. Non-specific request for a diet plan without specifying dietary preferences, goals, or restrictions."
Health,Dietitian,"As a dietitian, I would like to design a vegetarian recipe for 2 people that has approximate 500 calories per serving and has a low glycemic index. Can you please provide a suggestion?","C. I'm a dietitian looking for a low glycemic index vegetarian recipe serving 2, around 500 calories per serving. Any suggestions?"
Technology,App Developer,"App idea?","A. A very general query about app ideas without specifying the target audience, problem to solve, or app category."
Technology,App Developer,"I'm interested in developing an educational app for children aged 6-8 to learn basic math skills. What features and design elements would you recommend?","A. Inquiry about features and design recommendations for an educational app focused on basic math for children aged 6-8."
Technology,Cybersecurity Consultant,"Security tips?","B. Broad query for security tips without specifying the type of security (cyber, home, personal) or the specific concerns."
Technology,Cybersecurity Consultant,"Our small business handles sensitive client data. We need advice on implementing cybersecurity measures to protect against data breaches and malware.","B. Specific request for cybersecurity advice for a small business handling sensitive data, focusing on protection against data breaches and malware."
